0.5 0.5 0.5 0.5
sometimes 0.444 0.556 0.444 0.556
cover 0.769 0.231 0.154 0.846
cramped 0.667 0.333 0.267 0.733
reassured 0.800 0.200 0.400 0.600
funeral 0.500 0.500 0.250 0.750
charged 0.739 0.261 0.087 0.913
pipes 0.857 0.143 0.143 0.857
joining 0.750 0.250 0.750 0.250
ugh 0.500 0.500 0.250 0.750
particularly 0.462 0.538 0.538 0.462
gold 0.647 0.353 0.588 0.412
accommodations 0.080 0.920 0.520 0.480
wardrobe 0.750 0.250 0.750 0.250
session 0.400 0.600 0.400 0.600
carefully 0.250 0.750 0.250 0.750
fine 0.527 0.473 0.418 0.582
blender 0.750 0.250 0.250 0.750
unhelpful 0.333 0.667 0.133 0.867
giant 0.500 0.500 0.500 0.500
northwestern 0.750 0.250 0.250 0.750
condos 0.750 0.250 0.750 0.250
nervous 0.600 0.400 0.600 0.400
ruin 0.500 0.500 0.125 0.875
waiting 0.450 0.550 0.117 0.883
unhappy 0.400 0.600 0.300 0.700
failed 0.550 0.450 0.100 0.900
idiots 0.750 0.250 0.250 0.750
knowledgeable 0.545 0.455 0.727 0.273
8 0.688 0.312 0.156 0.844
therefore 0.667 0.333 0.500 0.500
gratis 0.750 0.250 0.750 0.250
express 0.429 0.571 0.429 0.571
cheaper 0.667 0.333 0.333 0.667
remedy 0.750 0.250 0.250 0.750
valuable 0.250 0.750 0.500 0.500
resolve 0.600 0.400 0.100 0.900
cry 0.500 0.500 0.250 0.750
oeuvres 0.750 0.250 0.500 0.500
common 0.545 0.455 0.455 0.545
doubles 0.833 0.167 0.667 0.333
river 0.821 0.179 0.696 0.304
cheese 0.385 0.615 0.462 0.538
mouthwash 0.750 0.250 0.500 0.500
locating 0.400 0.600 0.400 0.600
scenery 0.250 0.750 0.750 0.250
set 0.580 0.420 0.240 0.760
312 0.333 0.667 0.667 0.333
carrying 0.500 0.500 0.500 0.500
sex 0.500 0.500 0.250 0.750
see 0.542 0.458 0.490 0.510
individual 0.429 0.571 0.714 0.286
11th 0.667 0.333 0.500 0.500
forthcoming 0.750 0.250 0.250 0.750
hole 0.429 0.571 0.143 0.857
chose 0.463 0.537 0.415 0.585
repairs 0.500 0.500 0.250 0.750
# 0.750 0.250 0.250 0.750
ritz 0.833 0.167 0.167 0.833
visiting 0.277 0.723 0.617 0.383
movie 0.692 0.308 0.308 0.692
currently 0.714 0.286 0.143 0.857
please 0.667 0.333 0.286 0.714
burned 0.400 0.600 0.600 0.400
champagne 0.500 0.500 0.429 0.571
15th 0.714 0.286 0.714 0.286
europe 0.500 0.500 0.875 0.125
mildew 0.429 0.571 0.143 0.857
historical 0.500 0.500 0.750 0.250
complementary 0.400 0.600 0.400 0.600
premises 0.500 0.500 0.500 0.500
complement 0.250 0.750 0.750 0.250
respectful 0.200 0.800 0.800 0.200
last 0.488 0.512 0.395 0.605
barely 0.385 0.615 0.077 0.923
foreign 0.500 0.500 0.500 0.500
connection 0.400 0.600 0.400 0.600
pl 0.750 0.250 0.750 0.250
alot 0.571 0.429 0.571 0.429
accomodations 0.333 0.667 0.667 0.333
whole 0.352 0.648 0.389 0.611
upgraded 0.833 0.167 0.722 0.278
subpar 0.200 0.800 0.200 0.800
cakes 0.800 0.200 0.600 0.400
drunk 0.667 0.333 0.167 0.833
simple 0.643 0.357 0.286 0.714
acted 0.200 0.800 0.100 0.900
except 0.529 0.471 0.235 0.765
simply 0.375 0.625 0.450 0.550
configured 0.750 0.250 0.500 0.500
upgrades 0.800 0.200 0.400 0.600
throughout 0.575 0.425 0.375 0.625
expensive 0.589 0.411 0.357 0.643
platinum 0.500 0.500 0.250 0.750
cream 0.833 0.167 0.500 0.500
create 0.600 0.400 0.400 0.600
consierge 0.800 0.200 0.800 0.200
suburbs 0.429 0.571 0.429 0.571
dropping 0.250 0.750 0.500 0.500
extravagant 0.167 0.833 0.667 0.333
meeting 0.315 0.685 0.574 0.426
4 0.764 0.236 0.337 0.663
firm 0.333 0.667 0.556 0.444
fire 0.667 0.333 0.167 0.833
gas 0.600 0.400 0.200 0.800
gap 0.600 0.400 0.200 0.800
pricey 0.688 0.312 0.688 0.312
awake 0.429 0.571 0.143 0.857
representative 0.600 0.400 0.400 0.600
prices 0.267 0.733 0.289 0.711
handling 0.500 0.500 0.250 0.750
solid 0.500 0.500 0.167 0.833
straight 0.455 0.545 0.545 0.455
bill 0.595 0.405 0.162 0.838
tolerate 0.750 0.250 0.250 0.750
budget 0.385 0.615 0.308 0.692
concierges 0.667 0.333 0.833 0.167
replaced 0.545 0.455 0.182 0.818
pressed 0.250 0.750 0.500 0.500
involved 0.500 0.500 0.500 0.500
fun 0.431 0.569 0.745 0.255
omelettes 0.500 0.500 0.500 0.500
century 0.667 0.333 0.333 0.667
cents 0.600 0.400 0.200 0.800
drawbacks 0.500 0.500 0.250 0.750
encountered 0.625 0.375 0.375 0.625
decoration 0.500 0.500 0.250 0.750
itself 0.373 0.627 0.400 0.600
triple 0.600 0.400 0.400 0.600
beautifully 0.176 0.824 0.882 0.118
facade 0.333 0.667 0.333 0.667
leaving 0.542 0.458 0.208 0.792
funny 0.333 0.667 0.333 0.667
decor 0.472 0.528 0.597 0.403
elevated 0.800 0.200 0.400 0.600
complaints 0.591 0.409 0.591 0.409
virtually 0.875 0.125 0.375 0.625
corridor 0.400 0.600 0.200 0.800
displeased 0.250 0.750 0.250 0.750
keys 0.462 0.538 0.077 0.923
cigar 0.500 0.500 0.500 0.500
yesterday 0.750 0.250 0.250 0.750
desks 0.400 0.600 0.600 0.400
husbands 0.500 0.500 0.750 0.250
viewing 0.750 0.250 0.750 0.250
levels 0.600 0.400 0.400 0.600
purpose 0.600 0.400 0.600 0.400
recent 0.156 0.844 0.312 0.688
task 0.750 0.250 0.250 0.750
picky 0.333 0.667 0.583 0.417
makes 0.457 0.543 0.486 0.514
spent 0.449 0.551 0.478 0.522
maker 0.688 0.312 0.562 0.438
allergenic 0.167 0.833 0.500 0.500
concrete 0.714 0.286 0.429 0.571
advertises 0.143 0.857 0.143 0.857
convenient 0.548 0.452 0.690 0.310
landmark 0.500 0.500 0.500 0.500
entry 0.250 0.750 0.500 0.500
spend 0.302 0.698 0.245 0.755
mon 0.750 0.250 0.500 0.500
aroma 0.500 0.500 0.250 0.750
shape 0.571 0.429 0.286 0.714
alternative 0.500 0.500 0.833 0.167
letting 0.333 0.667 0.167 0.833
oriented 0.600 0.400 0.400 0.600
cut 0.667 0.333 0.083 0.917
clark 0.500 0.500 0.500 0.500
cup 0.692 0.308 0.385 0.615
eager 0.400 0.600 0.600 0.400
parents 0.727 0.273 0.091 0.909
excited 0.308 0.692 0.231 0.769
surprised 0.500 0.500 0.559 0.441
defiantly 0.250 0.750 0.500 0.500
shoved 0.600 0.400 0.600 0.400
emergency 0.700 0.300 0.200 0.800
big 0.598 0.402 0.587 0.413
couple 0.618 0.382 0.473 0.527
matters 0.250 0.750 0.250 0.750
truely 0.750 0.250 0.500 0.500
private 0.375 0.625 0.375 0.625
towners 0.500 0.500 0.250 0.750
formal 0.500 0.500 0.333 0.667
knock 0.364 0.636 0.091 0.909
disrepair 0.500 0.500 0.250 0.750
d 0.490 0.510 0.353 0.647
should 0.495 0.505 0.200 0.800
miffed 0.500 0.500 0.500 0.500
individuals 0.800 0.200 0.400 0.600
stylish 0.312 0.688 0.688 0.312
names 0.556 0.444 0.333 0.667
lug 0.167 0.833 0.500 0.500
partying 0.500 0.500 0.500 0.500
agreement 0.800 0.200 0.200 0.800
absolutely 0.468 0.532 0.636 0.364
spring 0.571 0.429 0.571 0.429
magnificent 0.500 0.500 0.774 0.226
insincere 0.500 0.500 0.250 0.750
palm 0.500 0.500 0.500 0.500
pricing 0.400 0.600 0.800 0.200
sight 0.211 0.789 0.474 0.526
mirror 0.615 0.385 0.154 0.846
scale 0.167 0.833 0.500 0.500
pet 0.167 0.833 0.667 0.333
decision 0.167 0.833 0.500 0.500
per 0.704 0.296 0.389 0.611
pen 0.750 0.250 0.250 0.750
connecting 0.750 0.250 0.750 0.250
$89 0.750 0.250 0.750 0.250
300 0.833 0.167 0.500 0.500
odor 0.217 0.783 0.043 0.957
use 0.533 0.467 0.308 0.692
$80 0.571 0.429 0.429 0.571
usd 0.833 0.167 0.500 0.500
nowhere 0.400 0.600 0.200 0.800
lounges 0.750 0.250 0.500 0.500
crap 0.750 0.250 0.250 0.750
tower 0.586 0.414 0.643 0.357
8pm 0.600 0.400 0.200 0.800
wrinkled 0.500 0.500 0.250 0.750
consequently 0.800 0.200 0.200 0.800
repair 0.273 0.727 0.091 0.909
garbage 0.417 0.583 0.167 0.833
satisfactory 0.250 0.750 0.375 0.625
servers 0.700 0.300 0.500 0.500
primarily 0.500 0.500 0.167 0.833
lesson 0.600 0.400 0.200 0.800
lebron 0.250 0.750 0.250 0.750
downhill 0.333 0.667 0.111 0.889
sightseeing 0.625 0.375 0.625 0.375
tasting 0.800 0.200 0.600 0.400
spending 0.364 0.636 0.227 0.773
exposed 0.750 0.250 0.250 0.750
specifically 0.727 0.273 0.091 0.909
custom 0.500 0.500 0.250 0.750
thirdly 0.400 0.600 0.200 0.800
suit 0.500 0.500 0.375 0.625
forward 0.333 0.667 0.422 0.578
bored 0.667 0.333 0.333 0.667
elsewhere 0.441 0.559 0.147 0.853
poster 0.750 0.250 0.250 0.750
relaxed 0.231 0.769 0.923 0.077
7am 0.500 0.500 0.250 0.750
hoped 0.222 0.778 0.333 0.667
boys 0.857 0.143 0.429 0.571
barman 0.750 0.250 0.500 0.500
competition 0.500 0.500 0.250 0.750
hopes 0.273 0.727 0.091 0.909
episode 0.500 0.500 0.250 0.750
line 0.722 0.278 0.181 0.819
wedding 0.382 0.618 0.455 0.545
posted 0.625 0.375 0.500 0.500
magnificant 0.667 0.333 0.833 0.167
requesting 0.400 0.600 0.400 0.600
un 0.750 0.250 0.250 0.750
customers 0.667 0.333 0.278 0.722
faded 0.500 0.500 0.167 0.833
continuously 0.500 0.500 0.250 0.750
supervisor 0.400 0.600 0.200 0.800
outcome 0.500 0.500 0.250 0.750
flow 0.400 0.600 0.400 0.600
listening 0.625 0.375 0.500 0.500
consulted 0.750 0.250 0.250 0.750
chat 0.250 0.750 0.250 0.750
aveda 0.875 0.125 0.750 0.250
cafe 0.600 0.400 0.450 0.550
hail 0.800 0.200 0.200 0.800
corners 0.600 0.400 0.200 0.800
redeeming 0.714 0.286 0.286 0.714
awoke 0.571 0.429 0.429 0.571
points 0.867 0.133 0.467 0.533
explaining 0.500 0.500 0.250 0.750
helpfull 0.571 0.429 0.857 0.143
lend 0.200 0.800 0.600 0.400
prepared 0.500 0.500 0.500 0.500
convention 0.593 0.407 0.259 0.741
cater 0.400 0.600 0.200 0.800
meals 0.400 0.600 0.500 0.500
ago 0.536 0.464 0.250 0.750
miles 0.857 0.143 0.571 0.429
overlooking 0.600 0.400 0.500 0.500
confirm 0.700 0.300 0.200 0.800
walked 0.420 0.580 0.507 0.493
cooked 0.250 0.750 0.250 0.750
2000 0.600 0.400 0.600 0.400
beverage 0.600 0.400 0.600 0.400
2006 0.750 0.250 0.500 0.500
2004 0.750 0.250 0.500 0.500
memories 0.333 0.667 0.500 0.500
fresh 0.385 0.615 0.487 0.513
2008 0.714 0.286 0.571 0.429
2009 0.857 0.143 0.714 0.286
hampton 0.600 0.400 0.200 0.800
code 0.333 0.667 0.167 0.833
partial 0.800 0.200 0.600 0.400
results 0.750 0.250 0.250 0.750
extensively 0.750 0.250 0.250 0.750
enjoyable 0.250 0.750 0.700 0.300
arranging 0.750 0.250 0.750 0.250
groceries 0.500 0.500 0.500 0.500
gladly 0.500 0.500 0.750 0.250
shrugged 0.500 0.500 0.250 0.750
centers 0.200 0.800 0.600 0.400
luxuries 0.250 0.750 0.750 0.250
concerned 0.385 0.615 0.385 0.615
young 0.765 0.235 0.118 0.882
send 0.542 0.458 0.083 0.917
ambience 0.857 0.143 0.286 0.714
pleasing 0.429 0.571 0.429 0.571
staffing 0.500 0.500 0.250 0.750
uploaded 0.750 0.250 0.250 0.750
stocked 0.400 0.600 0.533 0.467
random 0.600 0.400 0.200 0.800
garden 0.600 0.400 0.400 0.600
dessert 0.700 0.300 0.500 0.500
pleasent 0.750 0.250 0.750 0.250
putting 0.750 0.250 0.250 0.750
decorating 0.667 0.333 0.500 0.500
continued 0.556 0.444 0.111 0.889
arrange 0.500 0.500 0.333 0.667
timely 0.600 0.400 0.600 0.400
entire 0.545 0.455 0.341 0.659
recreation 0.600 0.400 0.800 0.200
staffs 0.250 0.750 0.500 0.500
experiencing 0.333 0.667 0.167 0.833
having 0.489 0.511 0.330 0.670
fewer 0.500 0.500 0.500 0.500
anxious 0.600 0.400 0.800 0.200
12th 0.750 0.250 0.500 0.500
unsatisfied 0.167 0.833 0.167 0.833
video 0.500 0.500 0.125 0.875
uncomfortable 0.515 0.485 0.061 0.939
odd 0.444 0.556 0.333 0.667
victor 0.750 0.250 0.750 0.250
peninsula 0.900 0.100 0.100 0.900
giving 0.583 0.417 0.250 0.750
assisted 0.400 0.600 0.600 0.400
expressed 0.667 0.333 0.333 0.667
inconveniences 0.333 0.667 0.167 0.833
access 0.525 0.475 0.607 0.393
consistently 0.800 0.200 0.800 0.200
exercise 0.222 0.778 0.556 0.444
body 0.417 0.583 0.500 0.500
led 0.833 0.167 0.500 0.500
leg 0.364 0.636 0.273 0.727
apologetic 0.400 0.600 0.200 0.800
packing 0.800 0.200 0.200 0.800
let 0.507 0.493 0.227 0.773
sink 0.452 0.548 0.065 0.935
others 0.692 0.308 0.513 0.487
fifteen 0.600 0.400 0.400 0.600
irritating 0.500 0.500 0.250 0.750
extreme 0.500 0.500 0.500 0.500
vinegar 0.750 0.250 0.250 0.750
receive 0.429 0.571 0.143 0.857
32 0.143 0.857 0.571 0.429
31 0.750 0.250 0.500 0.500
30 0.571 0.429 0.224 0.776
37 0.500 0.500 0.500 0.500
35 0.200 0.800 0.200 0.800
cta 0.833 0.167 0.500 0.500
existent 0.600 0.400 0.200 0.800
opinion 0.500 0.500 0.429 0.571
stephanie 0.750 0.250 0.750 0.250
honor 0.857 0.143 0.214 0.786
thats 0.857 0.143 0.429 0.571
named 0.625 0.375 0.500 0.500
$99 0.800 0.200 0.800 0.200
reserve 0.400 0.600 0.400 0.600
presidents 0.500 0.500 0.500 0.500
330 0.500 0.500 0.750 0.250
neiman 0.750 0.250 0.500 0.500
limo 0.500 0.500 0.750 0.250
sugar 0.750 0.250 0.250 0.750
tools 0.500 0.500 0.500 0.500
standing 0.667 0.333 0.111 0.889
certificate 0.714 0.286 0.286 0.714
chi 0.500 0.500 0.625 0.375
eleven 0.750 0.250 0.500 0.500
worn 0.714 0.286 0.095 0.905
doubt 0.462 0.538 0.231 0.769
themselves 0.167 0.833 0.500 0.500
rollaway 0.800 0.200 0.200 0.800
flaw 0.750 0.250 0.500 0.500
stone 0.400 0.600 0.600 0.400
train 0.852 0.148 0.519 0.481
ashamed 0.750 0.250 0.250 0.750
tattered 0.600 0.400 0.200 0.800
baby 0.556 0.444 0.333 0.667
ok 0.600 0.400 0.156 0.844
billed 0.714 0.286 0.143 0.857
departure 0.714 0.286 0.429 0.571
customer 0.404 0.596 0.339 0.661
account 0.700 0.300 0.050 0.950
balls 0.250 0.750 0.250 0.750
animals 0.200 0.800 0.600 0.400
clients 0.455 0.545 0.818 0.182
tag 0.571 0.429 0.286 0.714
obvious 0.286 0.714 0.286 0.714
thin 0.481 0.519 0.111 0.889
praise 0.500 0.500 0.500 0.500
pulling 0.500 0.500 0.167 0.833
closing 0.500 0.500 0.250 0.750
didnt 0.556 0.444 0.500 0.500
institute 0.667 0.333 0.800 0.200
reserved 0.359 0.641 0.128 0.872
bent 0.800 0.200 0.400 0.600
snacks 0.733 0.267 0.733 0.267
process 0.409 0.591 0.227 0.773
lock 0.800 0.200 0.400 0.600
$350 0.500 0.500 0.250 0.750
high 0.434 0.566 0.451 0.549
effectively 0.750 0.250 0.500 0.500
slip 0.400 0.600 0.400 0.600
docking 0.400 0.600 0.800 0.200
noises 0.400 0.600 0.100 0.900
danishes 0.750 0.250 0.500 0.500
struggling 0.500 0.500 0.250 0.750
delay 0.250 0.750 0.250 0.750
rehabbed 0.750 0.250 0.500 0.500
lamp 0.375 0.625 0.375 0.625
establishment 0.222 0.778 0.222 0.778
greatly 0.500 0.500 0.500 0.500
buildings 0.714 0.286 0.571 0.429
blocks 0.918 0.082 0.776 0.224
ding 0.500 0.500 0.250 0.750
wallpaper 0.857 0.143 0.071 0.929
tied 0.600 0.400 0.600 0.400
bothered 0.545 0.455 0.182 0.818
leisure 0.692 0.308 0.769 0.231
fab 0.800 0.200 0.800 0.200
coast 0.667 0.333 0.833 0.167
efficiently 0.500 0.500 0.750 0.250
tomato 0.500 0.500 0.500 0.500
realized 0.538 0.462 0.231 0.769
22nd 0.833 0.167 0.333 0.667
lame 0.500 0.500 0.250 0.750
lines 0.429 0.571 0.571 0.429
9am 0.667 0.333 0.333 0.667
linen 0.714 0.286 0.571 0.429
allow 0.400 0.600 0.400 0.600
classy 0.261 0.739 0.696 0.304
furious 0.500 0.500 0.125 0.875
lined 0.400 0.600 0.400 0.600
counted 0.500 0.500 0.250 0.750
produced 0.600 0.400 0.400 0.600
horns 0.750 0.250 0.250 0.750
fortunate 0.500 0.500 0.250 0.750
bunch 0.500 0.500 0.500 0.500
perfect 0.430 0.570 0.925 0.075
le 0.375 0.625 0.375 0.625
lb 0.250 0.750 0.750 0.250
la 0.857 0.143 0.571 0.429
chosen 0.636 0.364 0.273 0.727
ll 0.500 0.500 0.393 0.607
winning 0.200 0.800 0.600 0.400
meantime 0.714 0.286 0.143 0.857
age 0.600 0.400 0.200 0.800
willing 0.438 0.562 0.625 0.375
degrees 0.643 0.357 0.286 0.714
2011 0.400 0.600 0.200 0.800
2010 0.636 0.364 0.273 0.727
2012 0.800 0.200 0.200 0.800
designs 0.250 0.750 0.500 0.500
greater 0.500 0.500 0.500 0.500
mention 0.357 0.643 0.357 0.643
bothering 0.500 0.500 0.167 0.833
kiss 0.750 0.250 0.500 0.500
insisting 0.200 0.800 0.200 0.800
realize 0.556 0.444 0.222 0.778
presidential 0.167 0.833 0.667 0.333
minimalist 0.500 0.500 0.500 0.500
february 0.800 0.200 0.600 0.400
frayed 0.800 0.200 0.200 0.800
orange 0.833 0.167 0.500 0.500
scenic 0.400 0.600 0.600 0.400
truth 0.750 0.250 0.167 0.833
accompanied 0.500 0.500 0.500 0.500
beneath 0.750 0.250 0.500 0.500
stock 0.250 0.750 0.250 0.750
glasses 0.692 0.308 0.154 0.846
ratings 0.571 0.429 0.143 0.857
activate 0.250 0.750 0.250 0.750
doing 0.467 0.533 0.333 0.667
heated 0.143 0.857 0.857 0.143
ambiance 0.400 0.600 0.600 0.400
snippy 0.250 0.750 0.500 0.500
tenth 0.200 0.800 0.200 0.800
wander 0.200 0.800 0.600 0.400
rex 0.143 0.857 0.857 0.143
rep 0.250 0.750 0.125 0.875
superbly 0.500 0.500 0.750 0.250
flushing 0.714 0.286 0.286 0.714
asthmatic 0.500 0.500 0.250 0.750
incompetence 0.600 0.400 0.200 0.800
customary 0.750 0.250 0.250 0.750
shut 0.667 0.333 0.167 0.833
approached 0.333 0.667 0.333 0.667
surely 0.200 0.800 0.600 0.400
collection 0.250 0.750 0.500 0.500
latest 0.400 0.600 0.400 0.600
afterward 0.250 0.750 0.500 0.500
log 0.600 0.400 0.400 0.600
verify 0.857 0.143 0.286 0.714
backwards 0.750 0.250 0.500 0.500
peeve 0.500 0.500 0.250 0.750
put 0.636 0.364 0.197 0.803
david 0.571 0.429 0.714 0.286
chilly 0.500 0.500 0.250 0.750
length 0.833 0.167 0.167 0.833
serenity 0.200 0.800 0.800 0.200
invisible 0.500 0.500 0.500 0.500
waitress 0.500 0.500 0.167 0.833
rudely 0.417 0.583 0.167 0.833
finest 0.273 0.727 0.727 0.273
blown 0.750 0.250 0.750 0.250
scene 0.778 0.222 0.444 0.556
soothing 0.250 0.750 0.750 0.250
belongings 0.500 0.500 0.167 0.833
24th 0.750 0.250 0.750 0.250
reached 0.500 0.500 0.167 0.833
lounging 0.250 0.750 0.750 0.250
scent 0.429 0.571 0.286 0.714
reliable 0.375 0.625 0.375 0.625
occurred 0.750 0.250 0.500 0.500
sharon 0.250 0.750 0.250 0.750
sadly 0.375 0.625 0.250 0.750
fascinating 0.500 0.500 0.500 0.500
festival 0.800 0.200 0.600 0.400
laps 0.200 0.800 0.600 0.400
traveller 0.400 0.600 0.800 0.200
system 0.412 0.588 0.324 0.676
decorations 0.667 0.333 0.333 0.667
ton 0.500 0.500 0.500 0.500
travelled 0.800 0.200 0.600 0.400
liquor 0.400 0.600 0.400 0.600
painful 0.750 0.250 0.250 0.750
chagrin 0.500 0.500 0.250 0.750
nobody 0.611 0.389 0.222 0.778
dreary 0.400 0.600 0.200 0.800
haven 0.571 0.429 0.429 0.571
recieve 0.250 0.750 0.250 0.750
colleagues 0.500 0.500 0.667 0.333
furnishings 0.429 0.571 0.429 0.571
bother 0.565 0.435 0.348 0.652
shampoo 0.429 0.571 0.381 0.619
compensation 0.286 0.714 0.143 0.857
loves 0.571 0.429 0.429 0.571
visited 0.258 0.742 0.581 0.419
steep 0.500 0.500 0.500 0.500
steer 0.750 0.250 0.250 0.750
itchy 0.750 0.250 0.250 0.750
counter 0.111 0.889 0.222 0.778
permitted 0.500 0.500 0.250 0.750
horrendous 0.500 0.500 0.250 0.750
tidy 0.444 0.556 0.778 0.222
spelled 0.250 0.750 0.250 0.750
comfortably 0.571 0.429 0.286 0.714
turn 0.545 0.455 0.212 0.788
apparently 0.500 0.500 0.083 0.917
clearly 0.760 0.240 0.200 0.800
dishes 0.667 0.333 0.333 0.667
min 0.875 0.125 0.375 0.625
sevice 0.500 0.500 0.500 0.500
mid 0.667 0.333 0.333 0.667
parks 0.600 0.400 0.800 0.200
mix 0.250 0.750 0.250 0.750
concerns 0.250 0.750 0.250 0.750
soap 0.364 0.636 0.182 0.818
unless 0.520 0.480 0.120 0.880
disappointments 0.750 0.250 0.250 0.750
utensils 0.750 0.250 0.750 0.250
courtesy 0.571 0.429 0.714 0.286
** 0.750 0.250 0.250 0.750
device 0.750 0.250 0.250 0.750
payment 0.500 0.500 0.167 0.833
enthusiastic 0.500 0.500 0.250 0.750
request 0.702 0.298 0.234 0.766
thanksgiving 0.800 0.200 0.600 0.400
bartenders 0.714 0.286 0.286 0.714
mechanical 0.500 0.500 0.500 0.500
occasion 0.500 0.500 0.250 0.750
normally 0.524 0.476 0.476 0.524
fact 0.470 0.530 0.348 0.652
atmosphere 0.239 0.761 0.783 0.217
selection 0.632 0.368 0.526 0.474
overwhelmed 0.333 0.667 0.333 0.667
bring 0.511 0.489 0.356 0.644
kits 0.250 0.750 0.500 0.500
bedroom 0.552 0.448 0.621 0.379
inspiring 0.600 0.400 0.600 0.400
trying 0.500 0.500 0.222 0.778
grabbed 0.400 0.600 0.200 0.800
knowledge 0.750 0.250 0.500 0.500
hops 0.750 0.250 0.250 0.750
downstairs 0.500 0.500 0.325 0.675
controls 0.600 0.400 0.400 0.600
tainted 0.250 0.750 0.250 0.750
sylvia 0.750 0.250 0.750 0.250
hope 0.381 0.619 0.286 0.714
meant 0.571 0.429 0.429 0.571
move 0.538 0.462 0.115 0.885
handle 0.500 0.500 0.125 0.875
exceptional 0.400 0.600 0.867 0.133
wonderfull 0.500 0.500 0.750 0.250
familiar 0.500 0.500 0.500 0.500
unbeatable 0.400 0.600 0.800 0.200
cranky 0.200 0.800 0.400 0.600
perfection 0.200 0.800 0.600 0.400
areas 0.529 0.471 0.559 0.441
ashtray 0.500 0.500 0.167 0.833
taxes 0.778 0.222 0.444 0.556
dripped 0.400 0.600 0.200 0.800
stuff 0.500 0.500 0.389 0.611
btw 0.750 0.250 0.250 0.750
national 0.500 0.500 0.500 0.500
cruise 0.800 0.200 0.800 0.200
bellhop 0.300 0.700 0.400 0.600
washcloths 0.250 0.750 0.250 0.750
packed 0.556 0.444 0.111 0.889
error 0.429 0.571 0.071 0.929
insulting 0.750 0.250 0.250 0.750
attempting 0.500 0.500 0.500 0.500
featuring 0.250 0.750 0.250 0.750
routing 0.750 0.250 0.250 0.750
routine 0.500 0.500 0.500 0.500
email 0.778 0.222 0.222 0.778
unbelieveable 0.500 0.500 0.750 0.250
ends 0.600 0.400 0.200 0.800
emitted 0.250 0.750 0.250 0.750
deliver 0.526 0.474 0.053 0.947
courtyard 0.750 0.250 0.500 0.500
empathy 0.500 0.500 0.250 0.750
joke 0.333 0.667 0.111 0.889
taking 0.500 0.500 0.500 0.500
equal 0.250 0.750 0.500 0.500
trips 0.467 0.533 0.467 0.533
assure 0.500 0.500 0.500 0.500
swim 0.667 0.333 0.222 0.778
passing 0.667 0.333 0.333 0.667
kinds 0.200 0.800 0.200 0.800
otherwise 0.875 0.125 0.250 0.750
comment 0.700 0.300 0.600 0.400
vent 0.500 0.500 0.333 0.667
co 0.429 0.571 0.286 0.714
cd 0.500 0.500 0.875 0.125
bose 0.714 0.286 0.857 0.143
ae 0.800 0.200 0.400 0.600
labor 0.571 0.429 0.429 0.571
tremendous 0.714 0.286 0.286 0.714
copies 0.800 0.200 0.200 0.800
downgraded 0.500 0.500 0.250 0.750
apologize 0.636 0.364 0.091 0.909
baffled 0.250 0.750 0.250 0.750
seasoned 0.600 0.400 0.400 0.600
curtain 0.455 0.545 0.091 0.909
feather 0.429 0.571 0.857 0.143
kitchen 0.552 0.448 0.586 0.414
> 0.800 0.200 0.200 0.800
overwhelmingly 0.500 0.500 0.500 0.500
essentially 0.667 0.333 0.167 0.833
finished 0.222 0.778 0.333 0.667
deep 0.333 0.667 0.583 0.417
bulb 0.333 0.667 0.333 0.667
fellow 0.500 0.500 0.250 0.750
holiday 0.682 0.318 0.182 0.818
welcoming 0.500 0.500 0.750 0.250
plain 0.545 0.455 0.364 0.636
homey 0.500 0.500 0.667 0.333
appearance 0.400 0.600 0.200 0.800
value 0.818 0.182 0.485 0.515
pretentious 0.500 0.500 0.333 0.667
ammenities 0.600 0.400 0.400 0.600
bathtub 0.500 0.500 0.100 0.900
frustrating 0.556 0.444 0.444 0.556
amenity 0.500 0.500 0.700 0.300
ve 0.551 0.449 0.409 0.591
omni 0.403 0.597 0.597 0.403
site 0.389 0.611 0.444 0.556
helped 0.290 0.710 0.742 0.258
excessively 0.500 0.500 0.250 0.750
closets 0.833 0.167 0.833 0.167
optimistic 0.250 0.750 0.500 0.500
claimed 0.750 0.250 0.125 0.875
partner 0.500 0.500 0.500 0.500
sits 0.667 0.333 0.500 0.500
portray 0.250 0.750 0.250 0.750
disregarded 0.429 0.571 0.143 0.857
slammed 0.400 0.600 0.200 0.800
shuttle 0.692 0.308 0.385 0.615
garish 0.400 0.600 0.400 0.600
wheelchair 0.500 0.500 0.750 0.250
ball 0.286 0.714 0.857 0.143
caters 0.400 0.600 0.400 0.600
reporting 0.600 0.400 0.200 0.800
upon 0.405 0.595 0.302 0.698
sauna 0.333 0.667 0.667 0.333
dust 0.286 0.714 0.214 0.786
croissants 0.600 0.400 0.600 0.400
ikea 0.667 0.333 0.167 0.833
pleasantly 0.471 0.529 0.647 0.353
center 0.434 0.566 0.566 0.434
dock 0.636 0.364 0.364 0.636
pampered 0.100 0.900 0.900 0.100
thought 0.456 0.544 0.291 0.709
sheer 0.500 0.500 0.750 0.250
1 0.767 0.233 0.356 0.644
sets 0.750 0.250 0.500 0.500
position 0.800 0.200 0.600 0.400
audio 0.750 0.250 0.250 0.750
drivers 0.750 0.250 0.500 0.500
restuarant 0.750 0.250 0.750 0.250
stores 0.500 0.500 0.800 0.200
barking 0.167 0.833 0.333 0.667
less 0.468 0.532 0.258 0.742
